District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Tirupathur,65820,2855,717,Paddy,1275,Red,Canals,166,35,20,5195,Medium,8531,6.2,31,34,65,36.73,0.65,54,14,16,2.19,19.39,9.45,21.42,0.83,0.32,45000.0
Tiruppur,23495,1924,481,Tapioca,860,Red,Canals,175,33,23,5037,Low,5613,7.74,19,29,77,19.33,2.38,25,16,30,2.22,30.92,1.87,46.72,9.6,0.2,40000.0
Tiruvannamalai,74381,4746,714,Groundnut,1218,Mixed,Tanks,182,28,20,4850,Medium,14871,4.8,12,59,42,13.2,5.26,43,26,30,0.31,11.18,9.14,36.26,6.75,4.73,35000.0
The Nilgiris,26980,6624,1060,Groundnut,757,Black,Canals,198,32,15,4921,Low,12601,4.56,18,41,73,40.5,0.91,55,24,39,0.37,24.66,5.52,43.93,1.89,2.19,35000.0
Vellore,71964,4002,1622,Maize,1100,Mixed,Tanks,149,29,10,5103,High,26734,7.93,25,58,76,40.41,3.34,23,14,31,1.15,28.16,1.71,44.12,14.23,1.65,40000.0
Viluppuram,85799,7447,504,Maize,969,Black,Tube Wells,142,34,15,4905,Low,19770,4.69,21,38,34,11.78,2.83,44,37,31,1.45,16.56,9.55,11.7,10.97,4.44,40000.0
Virudhunagar,69015,7229,1984,Paddy,1206,Mixed,Wells,173,25,18,4572,High,28403,4.9,11,42,78,19.03,2.34,25,19,28,1.84,32.72,1.09,22.52,11.68,2.28,45000.0
Ariyalur,50903,7686,1680,Paddy,1305,Laterite,Rain-fed,198,32,23,4611,Medium,23987,8.15,46,31,73,20.57,4.51,58,33,34,0.5,10.39,4.54,23.74,7.09,3.42,45000.0
Chengalpattu,70615,3418,1660,Paddy,1086,Laterite,Tanks,175,34,12,4343,Low,18621,6.01,16,34,54,41.65,2.69,38,28,27,2.39,37.34,9.93,2.16,9.77,3.56,45000.0
Chennai,30696,5016,2126,Sugarcane,1331,Alluvial,Tube Wells,177,32,25,4283,Medium,21529,7.38,26,25,63,39.94,3.33,58,35,25,1.89,30.99,3.29,38.91,2.76,0.73,65000.0
Coimbatore,69140,6869,1755,Cotton,1392,Black,Rain-fed,135,32,20,5009,Low,29295,7.55,10,40,37,38.9,4.87,56,35,30,0.5,14.05,7.55,31.11,3.96,1.91,55000.0
Cuddalore,49430,2247,1016,Cotton,1061,Black,Canals,194,34,14,5446,High,27713,7.36,14,60,76,28.05,0.91,57,17,32,1.03,25.6,8.07,4.52,0.52,2.17,55000.0
Dharmapuri,23694,7264,1404,Tapioca,1484,Alluvial,Wells,178,31,11,4691,Low,27111,8.46,37,54,79,46.5,5.12,27,25,39,1.73,21.99,4.52,37.46,2.22,2.81,40000.0
Dindigul,61770,2279,2017,Maize,991,Red,Tanks,185,26,14,5044,Low,31247,7.29,49,28,70,49.35,4.03,32,29,38,0.34,33.8,5.36,3.92,8.26,3.8,40000.0
Erode,32987,1508,1572,Groundnut,1028,Red,Rain-fed,160,27,17,4690,Low,26562,6.12,22,53,56,45.85,2.58,45,25,23,1.92,25.97,4.3,26.64,5.99,1.17,35000.0
Kallakurichi,63947,3248,1526,Tapioca,762,Black,Tube Wells,126,25,25,5370,Low,17984,7.68,24,44,44,20.56,6.0,60,29,32,1.06,36.36,2.63,49.94,3.8,4.11,40000.0
Kanchipuram,39142,5406,1133,Tapioca,728,Alluvial,Rain-fed,121,33,18,4572,Medium,30605,5.42,21,34,56,44.73,5.83,43,11,22,1.31,18.12,8.16,37.64,11.58,1.33,40000.0
Karur,38035,2138,549,Tapioca,1304,Laterite,Tube Wells,100,32,16,5108,Low,31920,7.97,43,22,30,14.65,3.67,22,10,39,0.37,32.89,9.44,32.76,11.85,3.23,40000.0
Krishnagiri,25020,2587,2005,Groundnut,746,Red,Canals,200,33,15,5294,Medium,22703,6.96,27,37,45,10.01,2.52,42,25,25,1.14,27.47,8.19,23.16,4.44,0.3,35000.0
Madurai,57601,6363,1849,Groundnut,831,Alluvial,Rain-fed,129,35,23,4695,High,32236,5.82,28,21,64,31.71,0.85,41,11,19,2.32,25.88,1.43,46.38,12.59,3.33,35000.0
Mayiladuthurai,81925,3352,1050,Groundnut,1075,Laterite,Tanks,127,25,11,5500,Medium,5918,5.74,18,28,66,45.88,3.06,27,32,11,2.01,29.14,7.17,25.94,2.35,3.64,35000.0
Nagapattinam,38191,5755,1476,Cotton,1057,Black,Rain-fed,111,30,10,5204,High,6070,4.86,23,58,73,44.35,3.38,56,19,27,1.88,33.44,6.33,33.85,0.74,3.17,55000.0
Kanyakumari,81487,7070,850,Sugarcane,1459,Laterite,Canals,178,32,21,4864,Low,23093,4.51,29,47,72,33.47,5.44,26,37,32,1.09,19.28,2.76,9.83,5.15,0.19,65000.0
Namakkal,78799,5145,776,Tapioca,1297,Black,Rain-fed,118,27,20,4744,Low,30934,4.57,41,45,73,38.04,5.34,57,20,38,0.43,33.84,9.23,48.59,10.26,1.24,40000.0
Perambalur,20688,1576,1466,Groundnut,727,Alluvial,Wells,118,26,21,4649,Medium,34543,4.97,14,31,35,49.33,4.69,34,38,38,1.53,16.26,4.51,11.16,1.39,2.91,35000.0
Pudukkottai,30384,1566,539,Maize,1483,Red,Wells,121,35,20,5459,Medium,26336,7.54,48,59,71,39.01,5.98,56,21,37,0.53,14.66,3.53,30.27,14.85,2.06,40000.0
Ramanathapuram,22490,7198,2010,Paddy,1340,Mixed,Tanks,160,30,10,5256,High,15282,8.15,47,58,74,18.69,1.23,46,29,25,0.33,30.65,1.11,22.86,11.8,2.68,45000.0
Ranipet,53544,4314,1434,Paddy,1049,Red,Tanks,100,26,13,4589,High,28290,6.18,43,25,60,14.68,4.27,54,19,25,0.55,17.82,7.66,42.05,11.1,4.54,45000.0
Salem,48266,8193,726,Maize,1089,Alluvial,Tube Wells,141,29,25,4364,Low,28194,7.57,19,48,45,13.71,1.81,48,27,37,1.05,36.55,3.22,20.66,3.56,3.76,40000.0
Sivagangai,39597,2487,1251,Maize,799,Alluvial,Tube Wells,109,34,16,5028,High,34399,5.12,48,30,77,23.78,2.55,25,36,14,0.72,21.15,2.94,40.67,8.84,1.95,40000.0
Tenkasi,91932,8547,1512,Maize,1138,Black,Canals,106,29,16,4263,High,9615,6.52,10,26,54,10.78,4.27,52,19,12,0.51,24.61,2.29,40.92,14.04,4.75,40000.0
Thanjavur,99807,4959,1499,Sugarcane,1053,Laterite,Wells,117,25,14,4623,Medium,23647,7.73,40,51,68,23.64,0.96,47,28,11,1.16,39.24,9.29,16.43,1.19,2.01,65000.0
Theni,89176,7185,1226,Paddy,1065,Red,Wells,165,34,20,5258,High,33192,7.65,31,38,30,21.58,2.69,51,32,24,1.97,28.34,1.44,15.3,7.35,3.8,45000.0
Thiruvallur,75476,2582,588,Sugarcane,1121,Mixed,Canals,156,32,18,4243,High,14194,7.92,30,30,59,29.35,0.6,24,33,30,0.51,30.45,4.61,7.17,7.7,2.66,65000.0
Thiruvarur,34573,5413,1115,Groundnut,1059,Laterite,Tanks,154,31,22,4169,Medium,17498,4.99,15,58,77,28.2,3.67,50,23,20,0.2,38.42,8.73,34.59,0.72,4.99,35000.0
Thoothukudi,57762,2080,853,Paddy,757,Alluvial,Wells,185,27,16,5419,High,29682,6.39,31,28,62,41.18,0.97,20,24,15,1.48,21.95,6.01,30.14,12.85,1.54,45000.0
Tiruchirappalli,51147,3375,836,Maize,1377,Mixed,Canals,160,31,23,4876,Medium,24089,6.71,27,28,67,33.35,3.89,54,38,35,0.3,7.34,3.49,34.33,10.43,2.7,40000.0
Tirunelveli,59472,4638,1758,Sugarcane,950,Mixed,Canals,141,28,11,4680,Low,6642,5.78,31,21,75,47.57,4.25,20,18,19,1.75,7.09,4.59,49.13,8.94,4.98,65000.0
Tirupathur,35970,2231,1079,Cotton,953,Black,Wells,138,35,24,4052,High,10013,7.56,18,39,49,42.71,3.56,39,39,36,2.33,29.53,7.9,45.9,12.81,0.77,55000.0
Tiruppur,26258,7486,1078,Paddy,940,Red,Tube Wells,164,32,19,4278,Low,34036,7.96,34,25,71,38.72,3.37,59,33,32,0.91,11.56,6.63,23.71,3.98,3.58,45000.0
Tiruvannamalai,51252,8102,1138,Tapioca,1363,Alluvial,Rain-fed,197,29,24,4012,High,31368,5.05,13,46,61,21.96,0.52,29,37,11,1.64,25.54,3.24,36.47,4.44,3.99,40000.0
The Nilgiris,75027,2339,1001,Maize,1019,Mixed,Tanks,115,33,11,4080,High,26424,7.58,38,49,57,29.09,4.36,58,38,10,0.16,29.36,1.41,29.3,11.1,4.94,40000.0
Vellore,79914,2345,847,Maize,1306,Red,Rain-fed,130,35,19,4087,Medium,7938,8.12,30,54,60,43.28,3.09,33,13,17,2.37,17.41,8.88,27.31,9.67,1.0,40000.0
Viluppuram,28232,4066,1941,Groundnut,786,Laterite,Wells,171,29,20,4319,Medium,26188,8.13,37,31,41,14.21,4.31,30,23,36,0.13,29.99,5.02,21.19,14.21,2.82,35000.0
Virudhunagar,34530,4511,1666,Sugarcane,1404,Black,Tube Wells,150,30,10,4628,High,26714,5.82,46,27,32,12.05,4.79,55,23,16,2.0,6.93,9.99,9.05,11.32,4.47,65000.0
Ariyalur,85513,8717,1486,Groundnut,767,Red,Rain-fed,148,28,23,4762,High,20967,4.89,48,42,32,48.13,4.27,43,14,32,0.29,20.06,6.71,31.03,2.81,4.34,35000.0
Chengalpattu,98215,3951,1372,Cotton,1012,Black,Canals,199,34,12,5309,High,19357,5.44,49,35,31,33.05,3.17,21,16,11,1.35,33.23,9.35,6.83,6.13,1.79,55000.0
Chennai,90261,2623,1549,Tapioca,817,Red,Tanks,149,33,25,4470,Low,34139,5.99,14,57,52,25.69,5.44,51,31,38,1.97,21.09,6.6,40.56,0.86,4.68,40000.0
Coimbatore,22154,4635,2086,Cotton,1045,Laterite,Canals,190,31,23,5200,Medium,14373,6.75,22,31,38,45.24,2.52,26,28,35,0.25,24.54,3.26,18.89,5.3,0.21,55000.0
Cuddalore,87551,7836,1940,Groundnut,873,Alluvial,Rain-fed,160,27,24,5325,Medium,7110,6.53,45,45,35,24.48,0.72,58,20,21,0.92,11.83,4.54,17.15,5.78,0.18,35000.0
Dharmapuri,95372,8163,1729,Paddy,720,Red,Canals,145,33,17,4475,Low,20263,5.87,24,44,46,36.94,3.07,47,35,37,1.17,19.05,8.91,36.73,10.78,4.47,45000.0
Dindigul,51711,7669,418,Paddy,1251,Alluvial,Wells,139,35,20,4148,High,13634,5.54,17,58,74,24.04,1.07,25,23,12,2.01,31.87,2.8,17.06,10.75,4.01,45000.0
Erode,38818,8663,634,Groundnut,1033,Mixed,Tanks,166,34,17,4484,Medium,11170,6.01,11,33,75,23.66,5.72,29,31,10,0.11,8.74,1.5,25.12,14.12,0.61,35000.0
Kallakurichi,58177,2590,1769,Tapioca,738,Mixed,Tube Wells,140,30,24,4268,Medium,6230,8.26,10,50,36,15.99,3.09,57,37,32,0.72,15.13,6.99,15.63,11.01,0.31,40000.0
Kanchipuram,76261,6755,1108,Tapioca,1171,Laterite,Wells,167,25,18,5316,Medium,14899,4.68,35,20,79,32.61,2.07,34,25,31,0.87,12.85,9.49,42.91,6.05,1.53,40000.0
Karur,20205,7047,1312,Groundnut,1373,Laterite,Canals,110,34,19,4237,Low,11810,7.19,28,45,33,28.24,2.07,33,13,36,1.41,5.7,5.66,28.08,2.64,2.68,35000.0
Krishnagiri,66244,2670,892,Paddy,1132,Mixed,Rain-fed,177,25,11,4667,Medium,32573,6.89,25,34,60,16.66,1.74,28,14,35,1.09,7.14,8.55,37.57,7.82,2.53,45000.0
Madurai,51531,2060,1715,Sugarcane,1281,Black,Rain-fed,127,30,17,4649,High,15437,5.14,23,28,30,37.32,5.86,24,20,34,1.27,37.37,0.93,25.72,9.3,2.18,65000.0
Mayiladuthurai,94798,5845,1656,Tapioca,1227,Mixed,Canals,121,34,18,4141,Low,6915,7.44,19,42,59,18.4,3.68,32,21,29,0.25,17.26,5.09,6.75,5.89,0.21,40000.0
Nagapattinam,74600,6114,1672,Tapioca,1131,Mixed,Tanks,181,26,22,4426,High,10084,4.58,21,22,37,30.28,4.53,37,28,32,1.98,38.39,4.57,32.85,12.05,1.86,40000.0
Kanyakumari,44551,1569,899,Groundnut,973,Alluvial,Canals,135,26,18,4011,High,12483,5.68,37,33,57,20.73,3.78,56,17,37,1.31,7.06,8.44,37.26,11.13,2.63,35000.0
Namakkal,31221,6499,481,Tapioca,720,Black,Canals,191,34,10,4663,High,22582,5.67,50,27,45,49.56,2.99,42,20,25,1.15,15.27,7.62,11.27,6.92,3.85,40000.0
Perambalur,88614,6824,1797,Maize,1412,Alluvial,Wells,118,26,17,4696,Low,31015,7.53,19,34,47,10.99,1.33,30,38,40,1.56,12.03,4.8,11.83,10.53,4.03,40000.0
Pudukkottai,67265,2844,1057,Sugarcane,1180,Mixed,Canals,155,33,11,4984,Medium,30931,7.87,18,57,65,18.13,5.52,28,10,39,0.22,8.49,4.07,48.85,12.6,4.57,65000.0
Ramanathapuram,28870,5105,1181,Groundnut,1302,Alluvial,Wells,171,31,17,4069,Low,32351,5.98,41,30,53,10.42,2.77,22,39,14,0.12,28.87,1.56,23.41,12.25,1.27,35000.0
Ranipet,88951,4376,2030,Maize,722,Red,Tanks,156,27,24,5068,Medium,17013,5.62,38,52,80,30.3,4.18,56,15,19,1.67,34.64,8.11,47.16,9.12,4.98,40000.0
Salem,91313,7418,632,Maize,1024,Black,Tanks,162,28,17,4417,High,6537,7.59,39,22,31,48.27,2.3,36,34,35,0.65,21.27,5.51,12.93,9.23,4.07,40000.0
Sivagangai,86496,3245,1190,Groundnut,1086,Laterite,Tanks,188,28,22,5297,Low,10353,6.37,39,39,80,25.21,0.87,22,24,24,0.16,10.17,9.85,40.06,11.71,0.45,35000.0
Tenkasi,86535,6645,925,Groundnut,1284,Black,Tanks,200,34,10,5296,Low,10307,4.65,23,54,71,44.33,0.69,23,23,35,1.18,32.17,3.11,12.23,3.51,3.07,35000.0
Thanjavur,92633,7629,1506,Groundnut,1099,Mixed,Wells,132,27,23,4871,High,31708,4.76,23,42,72,39.67,5.06,33,24,14,0.75,5.02,7.11,16.34,0.93,0.83,35000.0
Theni,22665,2740,1882,Maize,1030,Alluvial,Canals,187,27,11,5137,Low,23320,4.91,14,20,64,10.46,5.59,50,18,21,0.81,8.87,3.57,25.76,10.39,4.96,40000.0
Thiruvallur,71177,4872,979,Cotton,1286,Alluvial,Rain-fed,115,25,12,4373,Low,24972,6.34,36,31,68,27.35,0.78,24,29,18,0.2,10.45,8.66,45.04,1.65,3.74,55000.0
Thiruvarur,81621,6546,450,Groundnut,800,Black,Tanks,171,35,18,5396,Medium,14185,4.74,42,29,50,38.94,3.08,50,33,15,2.34,20.68,3.14,44.23,8.32,1.8,35000.0
Thoothukudi,25706,7124,1458,Groundnut,1200,Red,Wells,155,32,23,4205,Medium,18832,6.5,12,22,36,39.16,4.98,51,35,23,0.66,39.75,3.19,31.58,7.87,3.79,35000.0
Tiruchirappalli,70709,5124,2083,Sugarcane,802,Laterite,Rain-fed,183,26,10,4581,Low,17807,4.99,35,46,41,17.28,3.23,43,10,21,0.89,30.72,3.41,22.31,11.55,2.59,65000.0
Tirunelveli,68929,8544,1977,Groundnut,1407,Red,Canals,144,30,19,4621,Low,16086,6.04,35,26,43,44.62,4.55,53,22,19,2.25,21.4,5.23,6.55,8.43,1.08,35000.0
Tirupathur,53246,3279,1167,Tapioca,1391,Black,Wells,122,26,11,4582,Medium,10936,5.55,29,57,59,36.0,0.65,55,19,38,0.3,20.37,2.76,24.31,8.2,2.53,40000.0
Tiruppur,22128,2210,1453,Tapioca,910,Black,Tanks,103,26,25,5064,High,19694,7.11,40,23,30,44.52,1.47,42,13,12,2.27,12.45,7.17,19.32,3.21,2.65,40000.0
Tiruvannamalai,66805,8844,2044,Sugarcane,1044,Laterite,Wells,146,31,16,5074,High,29628,6.63,11,26,63,12.71,2.55,44,35,23,1.16,38.51,4.03,4.43,13.27,1.59,65000.0
The Nilgiris,28855,2323,1441,Sugarcane,1208,Black,Wells,159,34,19,5263,High,16035,7.06,38,56,53,30.78,1.32,29,14,33,1.19,5.32,6.72,7.4,14.13,2.51,65000.0
Vellore,65193,2646,1312,Cotton,1214,Alluvial,Canals,198,35,13,4784,Medium,28915,5.42,10,35,35,47.26,4.16,48,39,35,1.53,35.57,6.7,2.98,0.72,4.54,55000.0
Viluppuram,51604,7664,1396,Groundnut,1483,Black,Tanks,185,31,17,4790,Low,33578,7.16,23,35,78,41.27,3.61,36,34,31,1.16,31.64,6.28,2.98,12.77,1.61,35000.0
Virudhunagar,33587,2508,489,Cotton,1383,Mixed,Rain-fed,144,31,22,5201,High,29703,4.74,45,33,37,29.05,1.4,54,14,27,2.33,11.25,2.86,4.08,5.43,4.43,55000.0
Ariyalur,96271,6329,1007,Tapioca,1047,Laterite,Canals,193,31,20,5269,Low,29863,4.89,33,43,79,34.99,4.69,20,25,28,0.43,29.37,7.71,25.94,3.11,0.22,40000.0
Chengalpattu,63583,7480,1734,Maize,870,Red,Canals,154,32,15,5467,Low,10225,5.77,13,59,67,44.49,3.95,44,14,31,0.55,10.5,5.04,22.36,13.1,4.03,40000.0
Chennai,37486,4645,794,Cotton,1329,Black,Tube Wells,127,27,16,5004,Medium,11519,8.41,25,34,78,45.33,4.37,45,31,16,0.16,30.22,1.39,33.82,7.89,1.61,55000.0
Coimbatore,25811,4379,1056,Paddy,1006,Red,Canals,178,30,10,4295,Medium,11587,6.62,34,51,35,45.61,3.9,26,25,28,2.13,37.09,4.55,39.01,9.26,2.68,45000.0
Cuddalore,66176,5017,1452,Paddy,1072,Red,Canals,171,27,23,5023,Low,9373,7.61,12,58,69,27.56,0.68,24,22,15,1.41,29.06,7.83,19.13,8.02,0.75,45000.0
Dharmapuri,91567,4076,568,Paddy,1146,Alluvial,Tube Wells,124,26,12,5413,High,22049,8.05,31,51,46,24.98,0.57,31,21,25,0.67,12.37,1.98,41.19,0.68,4.12,45000.0
Dindigul,64374,7980,596,Sugarcane,906,Mixed,Canals,148,29,20,4454,Medium,10023,5.69,49,25,71,11.64,4.21,46,16,37,0.13,24.17,9.54,27.05,12.88,3.01,65000.0
Erode,42949,2645,742,Tapioca,1208,Laterite,Tanks,147,30,17,4866,Medium,25434,4.79,30,58,49,36.17,3.91,28,35,23,0.36,8.52,8.45,45.93,8.63,4.15,40000.0
Kallakurichi,80899,3529,1983,Paddy,1350,Red,Wells,122,27,25,4919,Medium,30991,5.71,20,23,53,32.78,5.37,22,12,34,1.9,36.8,1.23,43.68,8.66,0.39,45000.0
Kanchipuram,82722,3768,1501,Tapioca,777,Alluvial,Tube Wells,195,31,10,5305,High,12660,7.89,49,20,46,45.72,2.5,34,40,33,0.25,19.25,8.18,24.28,12.3,3.58,40000.0
Karur,43891,6780,1492,Cotton,1248,Black,Tube Wells,101,29,13,4903,Low,5305,7.32,42,23,53,26.25,3.93,23,19,40,0.56,18.92,7.17,38.89,9.65,0.37,55000.0
Krishnagiri,37675,2190,415,Groundnut,919,Red,Canals,125,32,14,5473,Medium,9466,7.19,29,21,56,25.05,3.82,44,36,34,0.17,37.65,8.07,18.85,9.03,2.59,35000.0
Madurai,28270,3532,1683,Sugarcane,994,Red,Tube Wells,156,26,18,4599,Low,5532,6.03,18,31,68,29.88,1.98,57,21,32,2.25,10.88,3.54,32.55,11.62,2.29,65000.0
Mayiladuthurai,79988,6033,534,Sugarcane,971,Black,Tanks,146,27,15,5317,Medium,9405,5.15,50,57,60,33.57,3.03,43,40,32,2.14,35.93,2.91,47.23,8.08,4.35,65000.0
Nagapattinam,24847,6423,831,Paddy,748,Black,Rain-fed,167,29,19,4846,High,15819,5.19,28,41,39,45.17,4.31,24,13,17,1.38,6.21,0.54,12.91,6.36,1.74,45000.0
Kanyakumari,58462,6415,1772,Maize,1004,Mixed,Canals,124,31,18,4306,Low,18148,5.54,15,47,69,42.32,4.15,47,32,28,0.28,30.84,5.85,45.08,12.01,0.27,40000.0
Namakkal,46422,7407,1689,Maize,1287,Alluvial,Canals,100,28,23,4013,Medium,23796,7.51,12,26,55,46.91,5.65,40,30,27,1.58,15.92,5.0,4.56,10.53,1.67,40000.0
Perambalur,25741,6477,1984,Groundnut,1111,Black,Tanks,175,28,15,4265,Medium,8532,7.24,50,44,52,12.79,4.02,51,16,20,0.19,38.28,1.28,33.18,0.76,4.86,35000.0
Pudukkottai,46144,3834,836,Tapioca,931,Black,Canals,139,30,23,4750,High,12062,6.11,40,29,51,41.41,5.27,25,18,32,0.17,18.87,7.6,22.25,7.04,1.66,40000.0
Ramanathapuram,25492,7881,2171,Cotton,1339,Mixed,Canals,142,35,16,5055,Medium,11698,5.09,29,31,54,12.21,2.82,30,13,15,0.83,39.44,5.42,6.59,4.74,4.0,55000.0
Ranipet,61365,7156,1803,Paddy,1460,Laterite,Canals,112,35,15,5441,Low,33764,6.3,13,41,37,27.51,3.77,27,25,17,1.06,13.12,6.4,35.61,13.1,4.27,45000.0
Salem,60642,1719,1268,Tapioca,794,Mixed,Tanks,147,26,21,4343,High,5326,6.72,18,44,68,19.53,4.62,27,39,27,0.25,7.34,5.79,17.88,2.78,3.2,40000.0
Sivagangai,87552,8445,2111,Cotton,1434,Red,Canals,132,30,13,4755,Medium,12527,7.84,41,37,41,24.3,2.98,55,39,31,1.72,22.86,7.12,12.36,5.13,4.11,55000.0
Tenkasi,72196,8439,612,Tapioca,1292,Black,Tanks,164,32,19,4589,Medium,5719,8.49,27,51,59,15.2,2.2,47,30,13,1.63,39.85,3.05,25.81,11.32,3.59,40000.0
Thanjavur,91176,6893,821,Maize,797,Laterite,Tanks,101,26,19,4428,Low,12191,6.29,11,24,57,33.88,5.07,23,36,35,2.1,14.54,0.67,45.07,9.78,3.3,40000.0
Theni,82049,8674,1501,Maize,1306,Alluvial,Rain-fed,177,33,12,4142,High,11464,6.21,37,52,61,16.9,1.42,24,11,27,2.15,21.89,6.39,49.34,0.55,2.02,40000.0
Thiruvallur,53202,3971,2097,Paddy,1044,Alluvial,Wells,134,29,12,5076,High,13311,5.04,40,43,35,36.43,1.33,54,11,15,1.24,16.74,2.11,11.99,3.53,2.32,45000.0
Thiruvarur,24799,3183,1839,Maize,979,Laterite,Tanks,104,25,14,4447,Low,18378,6.28,33,42,45,11.3,4.15,25,20,35,0.29,6.9,0.7,37.05,2.77,1.16,40000.0
Thoothukudi,45048,5741,2199,Maize,768,Alluvial,Tube Wells,182,34,13,4354,High,20350,8.07,42,58,58,31.59,4.24,27,19,39,0.31,14.9,7.38,24.45,1.94,2.01,40000.0
Tiruchirappalli,57501,6471,1918,Groundnut,1280,Black,Tube Wells,135,25,10,5449,Medium,19449,7.23,20,39,58,46.04,4.7,28,40,26,0.22,33.24,6.74,29.63,8.25,1.42,35000.0
Tirunelveli,66789,5674,1987,Groundnut,1243,Alluvial,Rain-fed,182,33,17,5112,Medium,7219,5.08,37,20,76,46.65,1.92,34,21,28,1.04,39.61,3.87,41.75,9.76,4.86,35000.0
Tirupathur,26265,3045,1291,Maize,1186,Black,Wells,161,25,12,4216,High,29053,8.28,39,48,73,21.5,4.07,59,20,16,1.4,22.93,6.19,10.05,6.99,2.41,40000.0
Tiruppur,63506,7626,1724,Paddy,1137,Black,Canals,150,35,18,4273,High,27683,7.94,36,57,37,16.56,0.81,58,27,39,2.35,39.34,5.09,43.81,8.05,0.51,45000.0
Tiruvannamalai,55811,4709,2072,Paddy,914,Black,Tube Wells,105,30,15,4389,Low,9025,7.33,18,59,74,17.7,0.96,34,17,22,2.16,6.57,5.92,47.85,12.43,1.85,45000.0
The Nilgiris,36315,3921,547,Tapioca,1055,Alluvial,Tanks,189,26,13,4128,High,26965,8.27,33,29,78,47.67,2.06,32,35,30,1.46,12.15,5.27,15.78,1.28,4.16,40000.0
Vellore,68237,6793,1929,Maize,778,Black,Tube Wells,190,27,24,4258,Medium,34520,5.33,46,34,73,19.67,2.42,23,19,16,2.29,26.71,5.54,42.44,8.91,4.17,40000.0
Viluppuram,77272,1947,1805,Maize,1367,Mixed,Rain-fed,132,25,20,4409,Low,19017,6.69,10,20,62,41.51,4.45,31,21,31,1.43,18.68,4.75,20.47,13.12,3.7,40000.0
Virudhunagar,72431,7920,714,Sugarcane,1009,Mixed,Wells,135,33,13,5242,Medium,30667,8.18,37,38,62,18.63,2.92,40,21,30,2.39,36.78,1.96,10.99,10.14,0.83,65000.0
Ariyalur,77637,8855,448,Tapioca,1216,Black,Wells,180,25,24,4293,Low,19951,6.4,20,42,56,33.58,0.72,42,29,15,1.61,16.21,4.28,20.97,1.0,1.65,40000.0
Chengalpattu,70678,8002,1340,Groundnut,1007,Black,Canals,107,25,13,5321,Medium,16966,7.27,10,33,78,19.19,4.86,57,40,34,0.31,32.84,0.97,26.75,5.45,2.14,35000.0
Chennai,64438,3460,1868,Groundnut,1143,Mixed,Rain-fed,173,30,25,4014,High,31731,5.93,12,28,39,21.2,4.24,52,20,36,2.25,17.28,9.49,31.33,14.73,0.42,35000.0
Coimbatore,44486,5554,1079,Paddy,1379,Alluvial,Rain-fed,103,31,18,5283,Medium,5350,5.0,25,34,57,10.9,2.52,51,38,24,1.99,28.21,7.54,17.23,13.64,1.45,45000.0
Cuddalore,85038,4661,477,Cotton,1252,Laterite,Tube Wells,191,29,12,4624,Medium,19337,8.07,35,25,45,26.05,5.45,57,36,27,0.71,11.47,6.26,6.26,1.16,4.42,55000.0
Dharmapuri,85211,2423,579,Cotton,1020,Laterite,Rain-fed,160,25,21,5278,Low,33046,6.22,22,44,67,38.33,5.97,28,21,30,0.23,36.86,6.53,37.85,6.31,3.99,55000.0
Dindigul,68148,3474,550,Maize,904,Red,Wells,177,34,12,4189,High,18987,6.52,42,60,52,11.1,1.81,23,39,23,1.87,13.31,2.13,18.7,13.47,3.48,40000.0
Erode,88062,5592,511,Maize,1124,Black,Wells,180,34,21,4120,Low,9652,6.4,32,49,55,43.93,5.66,47,23,26,1.55,6.03,1.23,34.08,13.71,4.81,40000.0
Kallakurichi,54959,6727,764,Tapioca,1111,Black,Tanks,158,30,15,4772,Medium,30424,4.71,50,49,36,47.91,5.91,29,35,10,0.84,26.83,9.43,38.46,13.36,1.4,40000.0
Kanchipuram,30828,6365,2026,Sugarcane,957,Black,Tanks,162,26,22,4016,Medium,20675,8.08,35,54,38,32.64,4.72,34,15,25,0.81,39.67,1.4,11.91,14.72,1.29,65000.0
Karur,75640,2081,915,Sugarcane,1339,Laterite,Wells,122,27,16,4184,Low,24977,7.28,26,24,77,48.97,5.28,27,40,38,1.74,12.93,6.17,25.62,3.52,1.58,65000.0
Krishnagiri,30345,5827,1542,Paddy,1227,Black,Tube Wells,160,28,18,5064,Medium,24987,7.69,36,38,55,38.31,4.84,38,13,33,2.36,35.28,8.69,43.24,0.8,1.78,45000.0
Madurai,76440,8780,544,Tapioca,1164,Mixed,Canals,195,35,10,4501,Medium,16382,6.57,14,41,78,37.2,4.88,41,23,39,1.4,10.42,0.83,3.26,6.28,2.27,40000.0
