District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Hoshiarpur,34781,5360,2191,Maize,786,Alluvial,Tanks,206,18,15,4676,High,29913,7.33,60,31,50,48.93,2.19,48,10,17,1.53,17.54,0.8,8.15,1.07,1.33
Jalandhar,55323,5292,1680,Rice,1152,Calcareous,Canals,223,31,14,5366,Medium,18126,8.08,29,25,104,27.87,2.01,39,29,38,2.24,17.94,4.96,15.74,3.82,0.68
Kapurthala,118029,6572,1518,Cotton,591,Clay,Tube Wells,202,26,16,4848,Medium,14992,8.19,45,70,58,12.21,1.9,29,13,18,2.19,29.68,3.08,4.28,3.87,2.03
Ludhiana,65289,4601,507,Maize,1122,Alluvial,Tanks,237,12,24,4809,Low,9501,7.92,51,75,74,13.48,1.97,38,16,14,1.32,28.07,3.25,5.67,2.55,0.86
Malerkotla,104937,7373,1259,Maize,1130,Sandy Loam,Rain-fed,140,24,31,4939,Low,17844,7.74,22,70,63,16.98,0.97,55,31,18,1.65,24.15,1.08,8.97,5.99,1.64
Mansa,92833,9156,886,Wheat,761,Calcareous,Tanks,223,37,12,5517,Medium,19033,7.43,50,49,80,23.22,1.5,58,25,20,2.07,17.15,4.02,16.33,5.55,1.19
Moga,104619,4734,782,Maize,425,Calcareous,Tube Wells,167,18,14,5579,Medium,7279,8.29,17,60,106,33.12,2.05,25,43,35,2.9,24.96,2.79,9.94,5.1,2.26
Muktsar Sahib,106014,5160,2459,Wheat,734,Loam,Canals,207,28,20,5512,Medium,9494,7.97,48,48,60,16.88,1.07,56,45,18,0.86,29.74,3.94,10.78,3.99,1.03
Pathankot,107381,4226,2140,Sugarcane,916,Loam,Canals,219,31,12,5135,High,20148,7.07,15,51,101,18.75,0.99,25,34,24,2.3,26.13,3.98,9.26,6.58,1.91
Patiala,81955,6138,2231,Rice,674,Clay,Rain-fed,157,27,18,4772,Low,20417,7.16,30,33,68,35.12,0.86,60,10,29,2.0,16.32,4.46,7.29,3.97,2.42
Rupnagar,34444,8764,1574,Maize,661,Sandy Loam,Rain-fed,207,13,14,4371,Medium,30788,8.28,16,46,52,31.86,1.25,53,27,10,2.85,21.66,5.15,4.2,3.2,0.88
Sahibzada Ajit Singh Nagar,56437,8629,1135,Sugarcane,516,Calcareous,Rain-fed,142,34,29,4017,Low,24822,8.2,19,75,87,52.25,2.23,40,40,21,1.85,11.02,4.02,16.61,2.29,0.33
Sangrur,108370,6480,822,Wheat,806,Calcareous,Canals,214,36,15,5811,High,11256,7.08,59,66,54,41.37,1.4,54,42,39,2.56,24.65,4.46,4.39,6.46,2.12
Shaheed Bhagat Singh Nagar,41440,4793,1924,Sugarcane,764,Sandy Loam,Tanks,130,17,28,4831,Medium,13398,8.06,49,65,75,45.14,2.05,41,27,10,2.65,29.37,4.9,15.26,4.37,2.05
Tarn Taran,95354,9493,789,Maize,654,Sandy Loam,Tanks,225,39,15,4408,Low,16065,8.69,56,70,68,52.25,1.08,43,41,10,0.76,18.94,2.48,7.51,6.68,2.35
Amritsar,99478,4527,856,Rice,657,Calcareous,Tube Wells,241,23,32,5478,High,19841,8.64,41,63,78,52.39,1.41,39,10,19,1.2,17.6,4.38,10.96,1.49,1.03
Barnala,50131,2371,650,Maize,743,Loam,Canals,132,22,32,4151,Medium,30617,8.4,13,71,51,31.13,2.18,40,10,35,2.47,11.62,2.67,15.24,4.07,2.59
Bathinda,58392,5852,1962,Cotton,903,Sandy Loam,Rain-fed,120,27,33,4482,High,16314,7.92,22,72,98,13.35,2.26,38,35,21,1.74,22.7,3.76,16.96,4.81,2.55
Faridkot,51442,6265,888,Maize,1111,Clay,Tube Wells,126,19,26,5541,High,4097,8.69,55,62,82,28.03,1.08,33,34,25,0.39,11.09,2.32,16.59,4.57,2.34
Fatehgarh Sahib,92281,8958,2113,Cotton,1101,Calcareous,Tube Wells,212,23,34,5872,Low,29070,7.64,30,66,53,24.63,1.36,47,27,30,0.47,11.93,2.97,17.01,6.48,0.57
Fazilka,73283,5468,1920,Maize,1019,Loam,Rain-fed,226,21,25,5360,High,4012,7.08,16,53,69,20.37,1.67,31,27,10,1.89,21.32,1.38,5.45,5.52,0.34
Ferozepur,45371,5282,740,Rice,439,Calcareous,Tanks,194,20,32,4673,Medium,21889,7.09,39,54,42,39.93,1.48,48,14,24,1.0,14.26,3.98,15.48,5.67,1.11
Gurdaspur,91988,7880,2346,Sugarcane,1191,Sandy Loam,Canals,237,21,14,5446,Medium,17197,7.91,23,75,40,47.26,2.72,50,14,36,2.27,10.73,2.57,16.26,3.64,2.37
Hoshiarpur,95546,4928,1020,Cotton,378,Clay,Rain-fed,199,27,18,5165,High,12572,7.24,19,36,59,44.94,2.29,34,32,16,2.84,18.51,1.29,5.46,1.48,1.82
Jalandhar,44412,7518,1151,Rice,450,Calcareous,Rain-fed,144,17,34,5463,High,31480,7.05,20,71,61,19.44,2.23,46,15,15,2.37,31.47,4.14,8.46,3.99,0.5
Kapurthala,89222,3606,879,Wheat,520,Calcareous,Canals,190,13,31,4692,Low,18604,8.16,41,61,67,26.92,2.71,25,28,37,2.47,21.39,1.81,4.94,4.93,2.02
Ludhiana,108683,9284,1601,Cotton,797,Calcareous,Rain-fed,164,35,12,4342,Low,25592,7.44,55,50,89,27.83,0.7,41,10,20,0.71,31.53,3.41,9.46,6.36,1.77
Malerkotla,111748,9897,1197,Wheat,421,Alluvial,Canals,175,20,18,4023,Low,30164,8.16,60,46,80,14.67,2.73,30,19,23,0.89,20.32,2.36,9.94,3.07,2.47
Mansa,49063,2739,1167,Maize,463,Loam,Tube Wells,142,37,19,4054,Low,21749,7.38,14,56,74,45.57,0.83,48,23,12,0.92,27.65,2.73,10.01,3.88,2.36
Moga,37663,8524,979,Wheat,655,Sandy Loam,Tanks,127,18,15,4683,High,8250,7.18,45,55,90,53.81,1.52,60,17,37,2.68,19.73,1.45,7.5,5.36,0.92
Muktsar Sahib,99251,8233,2211,Cotton,1015,Calcareous,Tanks,205,28,32,4225,Low,30630,8.6,13,42,109,42.23,2.79,44,33,21,2.95,28.57,1.19,17.84,4.03,1.55
Pathankot,50230,5353,732,Maize,505,Calcareous,Tanks,232,12,32,4276,Low,25251,8.66,14,75,72,44.72,2.61,40,32,29,2.71,15.01,5.08,12.26,1.95,2.58
Patiala,81437,4483,1137,Cotton,1043,Loam,Rain-fed,187,22,28,5439,High,12856,8.07,44,44,62,52.29,0.93,45,18,31,2.95,18.08,3.19,7.28,6.37,1.58
Rupnagar,60033,7026,1120,Cotton,442,Sandy Loam,Tanks,217,36,30,5962,High,25149,7.44,47,45,99,12.71,1.01,38,11,21,1.77,29.52,5.37,6.24,5.56,1.32
Sahibzada Ajit Singh Nagar,59607,5073,2074,Cotton,1047,Alluvial,Canals,157,33,34,4025,Medium,24669,8.11,53,37,60,41.7,0.83,40,12,22,2.15,22.39,4.7,9.51,3.86,2.54
Sangrur,63293,2545,2496,Maize,954,Calcareous,Canals,198,27,33,4116,Low,5986,7.51,22,61,42,25.22,0.66,29,22,16,2.13,28.14,2.59,12.03,2.14,2.54
Shaheed Bhagat Singh Nagar,47878,8295,863,Cotton,649,Clay,Canals,169,39,15,5677,Low,14829,8.23,43,50,72,42.86,2.5,39,28,30,2.71,29.85,4.9,13.48,5.17,1.14
Tarn Taran,113894,5383,537,Cotton,614,Calcareous,Tube Wells,190,38,30,4999,Low,19111,7.95,16,66,66,47.75,2.41,60,43,33,1.18,12.28,4.37,15.4,4.18,0.65
Amritsar,48720,7085,725,Maize,723,Alluvial,Canals,178,26,32,4880,High,28209,7.72,27,43,107,34.78,1.6,30,18,40,2.54,13.74,3.55,10.82,5.75,2.3
Barnala,32786,5583,758,Rice,383,Sandy Loam,Tanks,168,13,13,4689,Low,22742,7.03,33,33,100,27.95,1.22,56,19,13,0.93,10.72,1.9,8.63,3.95,2.51
Bathinda,63740,4793,2110,Cotton,1193,Alluvial,Rain-fed,124,13,13,5763,Low,14609,7.64,54,37,75,32.87,2.17,60,28,19,0.49,29.06,2.35,9.2,4.51,2.28
Faridkot,66595,4812,1799,Wheat,779,Loam,Canals,128,18,23,4356,High,15251,7.84,55,49,96,53.77,1.46,39,25,35,2.92,19.23,4.48,15.33,2.74,1.79
Fatehgarh Sahib,75519,5737,1828,Rice,547,Calcareous,Tanks,177,39,15,4592,Low,13837,8.23,41,51,98,38.09,0.99,30,42,22,0.2,27.16,5.66,12.07,6.02,2.19
Fazilka,91497,9440,1366,Wheat,679,Loam,Rain-fed,160,16,27,5238,Medium,20165,7.44,34,25,88,16.79,1.51,64,21,15,1.43,22.91,4.53,4.45,4.39,1.68
Ferozepur,56044,4591,911,Cotton,482,Calcareous,Tanks,147,15,23,4896,Low,6519,8.51,32,44,72,41.47,0.72,37,36,10,0.46,12.22,3.24,11.74,5.77,0.84
Gurdaspur,80113,8226,1044,Rice,910,Calcareous,Rain-fed,214,38,30,4745,High,10252,8.54,34,45,107,47.66,2.34,36,11,19,1.9,22.96,3.22,14.75,4.36,1.93
Hoshiarpur,88013,4683,710,Maize,469,Calcareous,Rain-fed,169,17,30,4379,High,20678,8.19,34,63,106,35.96,2.04,59,45,23,2.26,11.35,5.6,7.44,2.19,0.82
Jalandhar,104240,6975,1247,Wheat,1137,Calcareous,Rain-fed,128,21,15,4265,Medium,14540,7.48,21,62,91,40.09,2.67,59,21,39,1.25,16.71,4.37,4.56,1.57,2.16
Kapurthala,70700,5910,2104,Maize,418,Clay,Rain-fed,161,26,28,4111,High,11037,7.75,30,68,76,29.72,1.98,26,38,28,1.26,24.69,3.0,13.76,4.05,0.99
Ludhiana,42617,4441,1216,Sugarcane,943,Clay,Canals,219,38,35,5206,Low,18853,7.21,18,35,68,18.99,1.42,35,33,39,0.86,14.76,5.05,10.6,6.15,0.35
Malerkotla,97656,4082,1184,Cotton,796,Loam,Canals,131,13,30,4639,High,5618,8.02,37,52,108,38.24,1.12,48,40,21,0.57,24.03,1.57,15.94,4.74,2.31
Mansa,95488,7613,629,Wheat,782,Calcareous,Canals,170,30,29,5495,Low,11923,7.19,30,27,50,28.46,1.79,59,26,34,2.47,24.91,3.93,6.98,4.51,0.71
Moga,113526,5221,1238,Cotton,521,Alluvial,Rain-fed,120,39,33,5674,High,12057,8.19,28,32,79,13.87,1.02,31,35,31,2.18,24.09,1.86,13.64,4.81,2.17
Muktsar Sahib,36907,3192,1140,Cotton,581,Sandy Loam,Rain-fed,175,35,26,5123,Medium,30016,7.98,53,36,99,17.12,0.78,58,12,34,2.11,16.6,3.25,9.35,5.34,1.65
Pathankot,118321,2354,1243,Sugarcane,447,Alluvial,Canals,182,37,23,5152,High,22012,7.2,60,61,75,48.18,1.56,27,40,25,1.44,20.61,3.61,10.9,6.86,1.56
Patiala,78496,3163,595,Sugarcane,454,Loam,Canals,192,15,15,5255,Low,26635,7.63,35,55,50,34.25,1.95,64,25,34,1.55,11.46,5.25,9.19,3.67,2.58
Rupnagar,59723,9281,886,Cotton,706,Calcareous,Tube Wells,210,26,19,5917,Medium,20873,8.04,16,34,109,33.73,2.05,64,29,36,0.16,21.54,2.82,14.87,2.62,1.55
Sahibzada Ajit Singh Nagar,114637,4236,830,Cotton,782,Clay,Rain-fed,184,37,24,5028,High,5951,8.55,28,26,43,25.51,1.23,53,27,10,2.62,26.07,2.88,7.8,5.77,0.35
Sangrur,46770,4021,1979,Maize,1016,Alluvial,Canals,150,13,12,5461,Medium,26212,7.97,37,44,77,37.54,2.07,25,15,32,2.38,22.72,4.57,17.77,2.04,0.67
Shaheed Bhagat Singh Nagar,71754,8574,2409,Rice,862,Clay,Tube Wells,164,33,18,4149,Medium,10780,8.39,40,60,81,40.12,1.25,51,13,12,2.54,25.76,4.21,6.51,2.74,2.24
Tarn Taran,31443,2673,1782,Sugarcane,967,Calcareous,Canals,162,14,24,5270,Low,29126,8.49,46,69,105,31.11,1.15,31,18,14,0.83,14.33,3.32,4.52,5.34,0.63
Amritsar,30004,7004,1327,Sugarcane,573,Alluvial,Tube Wells,131,19,27,5394,Low,10433,7.55,50,45,56,22.64,2.7,55,30,40,0.17,10.94,4.6,12.91,1.64,1.91
Barnala,47398,5456,1031,Maize,461,Clay,Canals,189,31,18,4392,Low,6224,7.77,33,63,59,19.4,0.74,51,41,14,2.1,11.63,4.74,4.1,2.77,1.1
Bathinda,86591,5548,604,Wheat,1177,Loam,Rain-fed,239,32,16,4113,Medium,6395,8.5,44,69,80,33.8,2.8,25,17,18,2.92,24.53,5.01,9.82,2.45,2.3
Faridkot,97216,9635,735,Sugarcane,379,Sandy Loam,Canals,164,15,15,4152,Low,21684,8.44,28,48,63,16.26,1.43,51,20,10,2.62,31.06,3.37,12.96,4.11,1.55
Fatehgarh Sahib,31104,8430,931,Wheat,842,Loam,Tanks,184,15,26,4752,Low,27396,7.63,54,28,68,46.77,2.1,44,44,32,0.95,27.64,2.29,12.3,4.87,0.24
Fazilka,74809,6196,902,Cotton,921,Loam,Tube Wells,209,22,15,5256,Low,22458,8.41,44,57,48,47.7,1.25,44,34,11,2.28,10.51,0.89,15.3,6.92,2.2
Ferozepur,98341,5748,763,Maize,1114,Clay,Tanks,138,21,32,4216,Medium,16979,8.09,20,44,93,20.28,0.7,51,24,17,0.65,17.44,4.47,11.74,4.0,1.3
Gurdaspur,87016,5286,1038,Cotton,969,Alluvial,Canals,239,25,30,5148,High,32976,7.59,45,71,98,43.96,0.93,55,40,11,2.36,26.75,2.76,16.73,3.74,1.9
Hoshiarpur,79699,5969,1513,Wheat,459,Alluvial,Tanks,141,16,33,5301,Low,19753,7.85,40,53,51,52.45,2.8,27,43,36,1.79,23.53,3.73,4.39,4.67,1.13
Jalandhar,78649,4480,531,Maize,1130,Clay,Canals,193,16,31,5489,High,28333,8.47,35,43,68,48.0,2.68,40,43,37,2.7,16.74,1.19,8.29,5.38,2.04
Kapurthala,60055,5258,984,Wheat,945,Loam,Tube Wells,198,31,27,5699,High,4669,8.08,46,66,42,29.73,2.48,60,29,32,0.7,16.75,3.44,4.52,5.12,0.8
Ludhiana,38813,3237,779,Maize,1010,Sandy Loam,Canals,155,17,23,5129,Medium,4959,7.65,30,29,70,14.74,1.25,53,22,32,0.72,23.09,5.62,17.48,4.48,2.41
Malerkotla,75218,6339,2439,Cotton,603,Clay,Tube Wells,227,19,32,4300,High,22501,7.22,26,31,81,31.73,1.47,56,12,13,0.29,30.26,5.56,10.11,4.78,1.89
Mansa,105723,9615,1535,Maize,811,Alluvial,Canals,202,38,29,4249,Medium,19968,7.67,16,66,62,53.59,2.57,27,26,14,0.26,27.63,2.95,13.36,3.09,0.43
Moga,51510,6209,1190,Rice,966,Loam,Tanks,211,35,22,5604,Low,31123,7.54,52,39,83,20.26,1.79,25,45,31,3.0,15.12,1.98,17.07,2.38,2.03
Muktsar Sahib,110859,6113,2411,Cotton,1196,Calcareous,Tanks,137,28,15,4238,High,29531,7.18,34,64,86,33.14,1.64,49,30,19,0.79,14.39,2.14,11.85,2.98,0.21
Pathankot,48512,4135,979,Wheat,742,Alluvial,Tanks,157,29,20,4386,High,6763,7.94,18,65,81,12.45,2.16,29,35,14,1.57,22.81,5.25,6.2,6.57,1.44
Patiala,44177,3465,1643,Maize,883,Clay,Rain-fed,172,35,28,5587,Low,25990,7.15,47,30,93,51.21,1.08,48,21,30,2.89,12.92,4.72,7.43,5.77,2.15
Rupnagar,35035,7960,1189,Rice,1124,Calcareous,Tube Wells,143,28,28,4244,High,10902,8.59,48,41,43,23.26,1.07,47,17,38,1.82,26.13,1.22,5.28,1.04,0.58
Sahibzada Ajit Singh Nagar,101508,9677,2205,Sugarcane,416,Alluvial,Canals,242,15,25,4589,Medium,20515,8.43,22,65,106,43.85,0.84,29,28,26,2.55,23.41,5.59,17.93,2.66,2.35
Sangrur,76158,2204,897,Sugarcane,471,Loam,Tanks,144,25,22,5053,High,7929,8.08,23,28,93,14.22,1.46,57,37,40,1.15,16.73,4.47,7.8,5.91,1.2
Shaheed Bhagat Singh Nagar,82552,7224,1570,Sugarcane,1149,Calcareous,Tube Wells,183,21,22,4313,High,25570,7.11,60,67,51,32.68,0.79,25,23,38,1.3,22.59,3.08,15.08,3.04,1.64
Tarn Taran,34803,8568,1786,Rice,549,Calcareous,Tube Wells,207,13,21,5596,Low,32474,7.72,48,42,40,33.97,1.05,40,27,26,0.27,15.25,5.21,13.81,5.51,1.19
Amritsar,72859,9036,1145,Maize,1047,Calcareous,Canals,230,30,22,5675,High,20433,8.36,59,57,84,22.43,2.18,32,32,28,0.19,27.88,5.26,5.09,5.56,2.1
Barnala,67893,9471,633,Maize,840,Sandy Loam,Tube Wells,160,27,33,5609,Medium,9026,8.39,21,37,95,35.29,2.02,31,45,40,0.91,27.49,1.69,7.99,5.71,2.02
Bathinda,63770,8917,1830,Cotton,920,Clay,Canals,162,14,14,4295,Medium,23110,7.77,47,72,64,51.54,1.78,27,24,30,2.61,13.3,4.25,15.01,3.63,2.15
Faridkot,49426,5537,837,Sugarcane,647,Sandy Loam,Rain-fed,144,36,21,5484,High,31940,7.0,14,74,100,14.27,2.78,56,12,12,2.31,23.62,4.9,11.83,4.19,1.27
Fatehgarh Sahib,40210,3232,2376,Wheat,1040,Calcareous,Tanks,243,18,28,4327,High,23732,7.23,17,33,74,53.36,1.98,44,42,11,2.03,14.0,2.57,16.09,1.71,2.48
Fazilka,62083,3662,1621,Rice,679,Clay,Rain-fed,204,20,14,4336,High,24028,8.65,23,29,74,24.56,2.78,47,33,24,0.79,20.12,1.04,4.68,6.35,1.71
Ferozepur,116047,7120,2270,Cotton,627,Calcareous,Tanks,132,22,27,4641,High,29692,7.46,37,39,105,24.16,2.22,51,18,35,0.53,31.26,1.24,17.62,6.66,1.09
Gurdaspur,37066,6360,2161,Maize,897,Calcareous,Rain-fed,197,24,14,5372,High,15551,8.42,14,41,102,49.71,2.7,49,32,29,0.21,18.92,4.83,13.84,2.16,2.34
Hoshiarpur,67543,3116,2264,Cotton,471,Alluvial,Tube Wells,169,21,16,5788,High,28713,7.8,54,52,46,29.64,1.04,58,19,21,0.23,12.33,1.96,17.47,2.76,2.54
Jalandhar,42730,9714,1780,Wheat,372,Alluvial,Rain-fed,150,27,23,4306,Low,8703,7.76,47,33,72,29.59,2.51,29,16,19,0.72,24.2,2.47,6.02,5.11,1.34
Kapurthala,99725,7178,1549,Cotton,636,Calcareous,Canals,213,30,27,4004,Low,11153,7.11,47,54,83,37.24,1.77,29,18,30,2.18,16.72,1.51,10.88,2.53,1.94
Ludhiana,41032,3853,1658,Maize,442,Sandy Loam,Tanks,196,28,32,4696,High,21990,7.7,41,42,44,26.2,0.6,34,41,17,1.01,20.21,2.61,13.33,3.0,1.04
Malerkotla,110552,7474,1504,Wheat,1191,Sandy Loam,Canals,161,21,32,4979,Medium,19503,8.66,21,51,71,29.76,2.3,40,22,13,1.2,10.86,3.57,15.83,1.67,0.58
Mansa,87281,9049,1090,Wheat,592,Alluvial,Tube Wells,184,18,27,5047,Medium,13288,8.16,34,72,66,33.51,0.6,59,12,11,0.24,29.2,2.83,7.65,2.87,2.37
Moga,98357,6603,1641,Sugarcane,797,Calcareous,Tube Wells,169,20,14,4148,Low,24594,8.45,29,66,100,18.37,2.04,56,16,16,1.12,25.24,5.35,16.86,5.4,2.12
Muktsar Sahib,43843,8498,1683,Sugarcane,708,Sandy Loam,Canals,197,22,26,4976,High,28138,8.44,58,43,101,41.05,0.93,58,29,22,0.7,12.46,5.52,16.8,5.99,0.38
Pathankot,69481,6564,944,Rice,809,Calcareous,Tanks,129,32,14,5229,High,28319,7.07,53,55,79,18.32,2.4,63,21,16,1.01,24.67,3.59,7.36,1.08,0.57
Patiala,96152,6883,1423,Cotton,976,Loam,Rain-fed,245,30,27,5228,High,11228,8.45,24,43,80,19.87,1.98,40,36,20,1.26,12.65,1.68,6.52,5.84,1.81
Rupnagar,42881,4663,826,Cotton,908,Calcareous,Canals,190,40,23,4897,Medium,26676,8.43,56,29,96,30.81,2.63,52,10,32,2.04,18.01,2.86,14.69,1.37,0.32
Sahibzada Ajit Singh Nagar,90606,7645,1250,Cotton,977,Calcareous,Tanks,159,12,31,5638,Low,4998,7.29,15,70,110,29.23,2.56,51,24,35,0.67,20.47,0.84,14.88,1.67,2.28
Sangrur,59216,4725,1164,Rice,984,Sandy Loam,Tube Wells,191,33,33,5503,Medium,7883,8.13,21,29,104,25.19,1.25,52,20,34,2.14,31.44,3.87,15.88,4.14,0.85
Shaheed Bhagat Singh Nagar,50317,5665,1582,Sugarcane,926,Alluvial,Tube Wells,167,21,28,4004,High,18235,7.6,22,67,68,19.4,0.92,41,20,11,2.75,28.27,3.46,9.42,3.4,2.01
Tarn Taran,47821,6915,1121,Wheat,1105,Alluvial,Tanks,205,16,33,5240,Low,4366,8.29,35,62,72,12.92,1.48,27,32,31,1.81,16.3,3.18,13.61,5.21,1.45
Amritsar,77356,2626,1969,Sugarcane,931,Clay,Rain-fed,150,19,19,4872,Low,26172,7.52,30,71,42,14.51,0.95,26,40,22,1.22,14.49,2.82,10.26,1.96,0.49
Barnala,43414,9304,1168,Rice,463,Calcareous,Canals,219,34,22,5693,Medium,5456,7.6,55,49,80,21.67,2.61,25,41,20,1.57,21.2,4.57,14.25,2.51,1.02
Bathinda,72704,2300,1326,Sugarcane,766,Sandy Loam,Tanks,210,27,25,4249,Low,14785,8.13,18,72,107,54.83,0.66,46,21,34,0.78,15.8,2.99,10.97,4.29,2.29
Faridkot,96761,9638,2218,Maize,587,Calcareous,Tube Wells,228,40,32,5991,Low,26737,7.13,35,59,65,19.73,0.75,52,12,23,2.01,21.49,1.98,11.28,6.55,1.75
Fatehgarh Sahib,63941,2250,2143,Cotton,640,Sandy Loam,Tanks,186,38,25,5705,High,19273,7.47,17,41,81,40.66,2.22,41,15,23,2.92,19.42,4.28,12.42,4.01,2.17
Fazilka,86346,7687,2230,Maize,564,Alluvial,Rain-fed,178,32,13,5657,Medium,15691,8.64,17,59,55,53.78,2.71,38,26,35,2.12,23.01,1.41,16.82,2.3,2.47
Ferozepur,39361,4817,504,Maize,755,Clay,Tanks,141,28,15,4872,Medium,14115,7.1,56,62,92,30.74,2.48,53,15,17,2.33,23.15,4.76,14.04,3.22,1.93
Gurdaspur,57938,6851,1350,Maize,442,Loam,Rain-fed,188,25,13,4577,Low,7639,8.57,18,39,102,32.65,2.34,39,37,21,0.57,15.26,2.42,16.35,1.48,1.68
Hoshiarpur,107218,8190,2282,Maize,1129,Alluvial,Rain-fed,179,34,25,4891,High,8829,8.14,42,32,54,37.95,1.75,50,19,25,1.26,17.05,2.44,11.37,2.01,1.2
Jalandhar,94312,9721,2111,Wheat,564,Sandy Loam,Canals,149,26,34,4429,Medium,15122,7.18,28,40,69,38.81,2.58,59,22,32,2.08,13.05,1.93,4.26,3.83,2.49
Kapurthala,54506,7108,1633,Cotton,725,Clay,Rain-fed,198,25,24,4738,High,25279,7.75,47,73,81,51.85,1.6,64,34,16,0.69,15.83,4.63,16.57,1.89,2.53
Ludhiana,75057,3856,1168,Rice,597,Clay,Tube Wells,200,35,29,5447,High,13399,8.32,55,27,98,42.72,1.35,50,12,28,0.3,29.44,5.37,13.82,3.74,1.0
Malerkotla,114197,9026,1305,Maize,623,Alluvial,Rain-fed,139,29,14,4376,Medium,21205,7.78,14,47,86,45.83,0.88,61,13,24,2.91,23.95,4.89,10.49,2.47,1.76
Mansa,101078,7876,2051,Sugarcane,1195,Calcareous,Rain-fed,140,38,34,5642,Low,10085,7.26,35,26,90,45.42,1.98,39,43,21,1.77,11.88,0.91,14.1,4.78,2.33
Moga,106765,7890,1444,Rice,443,Alluvial,Rain-fed,184,24,30,4837,Medium,30093,8.11,28,57,92,20.85,1.36,32,12,36,2.52,24.14,4.16,10.99,3.15,1.17
Muktsar Sahib,65310,5787,2408,Maize,557,Clay,Rain-fed,191,30,33,5435,Medium,5542,8.54,59,67,65,38.62,2.76,50,37,13,2.95,30.13,1.38,4.21,4.93,1.15
Pathankot,93582,9344,2177,Rice,1148,Alluvial,Rain-fed,168,35,12,4670,Low,25152,8.38,56,63,80,46.22,2.8,54,35,20,1.45,20.3,1.58,8.94,4.64,1.48
Patiala,112493,8576,1597,Wheat,891,Alluvial,Tube Wells,149,18,29,4208,Medium,32467,7.61,52,67,73,28.39,1.58,52,16,29,1.7,22.4,1.81,6.78,5.06,2.13
Rupnagar,45875,5658,2375,Wheat,1192,Loam,Tanks,166,22,15,5463,Medium,28469,7.7,12,50,78,38.11,2.7,31,34,38,2.22,22.59,1.1,7.77,3.4,0.46
Sahibzada Ajit Singh Nagar,108799,3876,1941,Maize,1107,Sandy Loam,Tanks,205,40,22,5927,Low,29202,7.41,17,33,44,22.89,1.33,27,11,11,0.34,10.88,2.28,5.95,3.48,2.45
Sangrur,31879,7115,627,Wheat,673,Loam,Tanks,198,37,12,5444,High,12074,7.36,26,52,53,24.74,1.73,29,27,37,1.42,12.68,4.47,10.05,3.03,1.36
Shaheed Bhagat Singh Nagar,51174,4168,1925,Wheat,627,Alluvial,Rain-fed,207,16,25,5196,Low,19294,7.42,52,74,96,27.91,1.59,60,19,25,0.51,14.35,4.91,5.91,5.84,2.58
Tarn Taran,109438,4917,519,Wheat,613,Clay,Tube Wells,123,28,31,5586,High,19633,8.31,56,46,41,29.24,0.95,51,26,22,0.42,13.33,1.79,11.47,2.96,0.3
Amritsar,35214,5675,1082,Maize,919,Loam,Tanks,143,19,16,5538,Medium,31694,8.23,50,70,102,46.77,0.9,65,25,21,2.71,29.92,4.11,9.33,6.17,2.34
Barnala,38827,5011,823,Wheat,594,Sandy Loam,Tanks,160,18,28,4146,Medium,15552,7.22,18,47,88,23.0,2.59,65,12,27,2.01,26.43,2.02,4.29,6.52,0.3
Bathinda,59982,2951,1981,Rice,562,Clay,Rain-fed,152,30,33,4245,Medium,4494,7.23,16,28,77,51.91,2.62,59,35,35,1.33,24.25,3.03,11.27,6.9,0.54
Faridkot,75138,9340,1501,Wheat,864,Sandy Loam,Tube Wells,120,23,25,4816,High,24837,7.87,55,69,109,29.41,1.09,26,14,37,1.95,20.67,3.99,12.26,6.86,1.8
Fatehgarh Sahib,97049,6541,1092,Maize,954,Alluvial,Tanks,205,19,12,4304,Low,4003,8.01,45,29,42,33.05,1.08,43,18,32,0.68,21.49,2.15,12.11,2.16,2.32
Fazilka,88668,2804,1978,Cotton,1012,Loam,Canals,125,13,23,5786,High,25209,8.09,32,56,80,19.94,2.45,59,43,24,2.62,13.41,3.74,10.82,3.63,2.49
Ferozepur,98875,8945,1091,Rice,1038,Clay,Canals,215,21,16,5202,Medium,22874,7.74,28,50,87,18.6,0.83,37,19,17,1.9,15.36,0.98,10.39,6.15,1.47
Gurdaspur,58438,7792,734,Maize,911,Clay,Canals,154,33,34,5957,High,15390,8.28,31,28,59,40.05,0.83,36,40,35,2.2,16.53,4.69,8.65,2.85,2.5
Hoshiarpur,107302,3097,757,Sugarcane,829,Clay,Tanks,200,25,21,4127,Low,26726,8.51,57,72,73,19.78,1.92,58,27,23,2.97,26.27,1.95,5.09,6.49,0.82
